word,count
ولئن,33
ربكما,33
صرط,32
لبحر,32
ولما,32
أوتوا,32
أحسن,32
ءايـتنا,32
يكن,32
إليكم,32
أجر,32
لأولين,32
صـدقين,31
إنكم,31
فضل,31
ءايـته,31
ملك,31
ممن,31
جعلنا,31
تر,31
أكثر,31
لملك,31
بينهما,31
لجبال,31
تكذبان,31
لـاخر,30
سوء,30
لمحسنين,30
أحد,30
فإنما,30
أنى,30
لشمس,30
حيث,29
حين,29
لعلم,29
لفى,29
بينكم,29
وحدة,29
نظر,29
لمؤمنون,29
قالت,29
سبيلا,29
نوح,29
نذير,29
وجعل,29
عملوا,29
لحمد,28
وأما,28
لزكوة,28
يظلمون,28
أشد,28
مريم,28
فضله,28
كانت,28
أبدا,28
علموا,28
لمشركين,28
لسبيل,28
تلك,28
فهو,28
وإلى,28
ويقولون,28
لئن,28
ءامن,27
فقال,27
دخلوا,27
بصير,27
ولله,27
تخذوا,27
أعمـلهم,27
يؤمن,27
يدعون,27
عـقبة,27
ضلـل,27
لكل,27
يروا,27
سواء,26
معكم,26
بأنهم,26
ومنهم,26
جزاء,26
تبعوا,26
نفسه,26
مستقيم,26
جناح,26
وأنا,26
لنساء,26
لظـلمون,26
لأولى,26
فسوف,26
وأولـئك,25
جاءكم,25
عباده,25
أنزلنا,25
ذو,25
ولى,25
ينظرون,25
لمتقين,25
تكون,25
خبير,25
كذب,25
لقمر,25
دعوا,24
خـلدون,24
عنها,24
تبع,24
تعقلون,24
عنكم,24
يـموسى,24
فيما,24
وإنه,24
ورحمة,24
كتب,24
عزيز,24
ولولا,24
لمرسلين,24
للكـفرين,23
أنه,23
عدو,23
حسنا,23
بإذن,23
تولوا,23
لجحيم,23
لمصير,23
رسولا,23
لصـلحين,23
عنده,23
لحرام,23
أجمعين,23
لفلك,23
قرية,23
وله,23
أجل,23
لذكر,23
فهل,23
يرجعون,22
ولن,22
فأما,22
ماذا,22
لبـطل,22
ءال,22
فلن,22
بلى,22
فتنة,22
يأتى,22
لسميع,22
يعقلون,22
نزل,22
وإليه,22
لأنعـم,22
بشر,22
عليما,22
عظيما,22
أجرا,22
لمبين,22
لمجرمين,22
لجن,22
يشعرون,21
عبدوا,21
تكونوا,21
لبر,21
بعده,21
كفر,21
حرم,21
لمعروف,21
سميع,21
لـاية,21
لكـفرون,21
مسمى,21
وقل,21
تكن,21
وكفى,21
عسى,21
خلقنا,21
صبر,21
يوسف,21
ينفقون,20
مثلا,20
بعضكم,20
يـبنى,20
أول,20
يسمعون,20
تعبدون,20
تخذ,20
شهيدا,20
أيام,20
أمولهم,20
نار,20
رحيما,20
غفورا,20
ستكبروا,20
سم,20
أحدا,20
أخاف,20
تدعون,20
لعرش,20
كريم,20
نارا,19
تتقون,19
ترجعون,19
ولكم,19
تشكرون,19
ءاتينا,19
قولا,19
لرسل,19
إلينا,19
لسوء,19
لصـدقين,19
لهو,19
أولى,19
فترى,19
أنما,19
صبروا,19
ذى,19
لمنـفقين,19
ترى,19
سلـم,19
نجزى,19
لغفور,19
يشركون,19
قوة,19
للمتقين,18
ذهب,18
خلقكم,18
قبلكم,18
أراد,18
وحد,18
ضل,18
لحكمة,18
لمسجد,18
يتقون,18
لحساب,18
جاءتهم,18
أكبر,18
لعلى,18
جنة,18
غفر,18
لتورىة,18
فقل,18
يفترون,18
كلمة,18
يغفر,18
ل,18
عمل,18
لمؤمنـت,18
فقالوا,18
يوحى,18
نشاء,18
ريب,17
أظلم,17
يضل,17
يخرج,17
يبين,17
لموتى,17
لماء,17
يفعل,17
ينزل,17
يديه,17
يحكم,17
أمرا,17
عاد,17
بأن,17
حقا,17
قبله,17
حسنة,17
بعدهم,17
مغفرة,17
كبيرا,17
لأبصـر,17
تجد,17
ولد,17
بيننا,17
طائفة,17
وجوههم,17
أفمن,17
ءالهة,17
لقرى,17
تذكرون,17
لخلق,17
ذات,17
وب,16
خوف,16
يوما,16
ضرب,16
يحى,16
فلم,16
سمعنا,16
قدمت,16
وهدى,16
بينـت,16
قضى,16
ءاتينـهم,16
فيهم,16
إلـها,16
كسبت,16
لألبـب,16
لعقاب,16
نعمة,16
متـع,16
ذا,16
فكيف,16
تتلى,16
لصدور,16
أمرنا,16
حكيما,16
لفوز,16
أهلها,16
لحسنى,16
تأتيهم,16
أهلكنا,16
كذبا,16
كذبت,16
رحمته,16
وكنا,16
رزقا,15
ونحن,15
ءادم,15
وءاتوا,15
كلوا,15
إنها,15
لإثم,15
ببعض,15
لدار,15
فإنه,15
للمؤمنين,15
يكفر,15
لشيـطين,15
تقولوا,15
لكفر,15
إبرهـم,15
لبيت,15
وبئس,15
خلت,15
كسبوا,15
يأتيهم,15
شر,15
أيمـنكم,15
لطير,15
يستطيعون,15
لقسط,15
فوق,15
وهـذا,15
قلوب,15
وقيل,15
يجعل,15
ملكت,15
لسيـات,15
بصيرا,15
ليقولن,15
أخرى,15
شك,15
رسلنا,15
أيمـنهم,15
لإنس,15
كـفرون,15
لوط,15
بهـذا,14
لخـسرون,14
سبع,14
قلنا,14
نفسا,14
قلوبكم,14
يكسبون,14
معرضون,14
معهم,14
سنة,14
لفضل,14
لإيمـن,14
سبحـنه,14
أهله,14
مسلمون,14
أوتى,14
أين,14
لصـبرين,14
دابة,14
بعيد,14
قريب,14
أنكم,14
بينة,14
أزوجا,14
لظلمـت,14
وإنى,14
يخلق,14
لكذب,14
لحكم,14
رسوله,14
لمنكر,14
وأطيعوا,14
يرد,14
عندنا,14
أليما,14
مكان,14
أوحينا,14
لكفار,14
وأنت,14
يستهزءون,14
أرءيتم,14
أنزلنـه,14
مرة,14
لمدينة,14
وكل,14
ليمين,14
لـاخرين,14
ويل,14
كمثل,13
يحزنون,13
ينصرون,13
لقومه,13
لنبيـن,13
فلولا,13
لخـسرين,13
يفعلون,13
فريق,13
وقالت,13
ولدا,13
ترك,13
لهن,13
بتغاء,13
لأمور,13
فوقهم,13
غيره,13
تتخذوا,13
داود,13
لنور,13
أولوا,13
لشهـدة,13
بعذاب,13
لمفسدين,13
يـأهل,13
للعـلمين,13
رجل,13
وذلك,13
مبينا,13
وليا,13
يريدون,13
يفقهون,13
وكيلا,13
حرج,13
سبيله,13
وجدنا,13
فيقول,13
أليس,13
بغتة,13
أعبد,13
وإما,13
عـلم,13
توعدون,13
لرزق,13
لملأ,13
سلطـن,13
لمجرمون,13
وأنه,13
يكونوا,13
أدرىك,13
لمفلحون,12
مرض,12
كلما,12
وأنزل,12
لثمرت,12
لفـسقين,12
تكفرون,12
ستوى,12
وأنزلنا,12
يكفرون,12
أجرهم,12
أخذنا,12
يؤمنوا,12
سيئة,12
لقربى,12
ليتـمى,12
عيسى,12
مهين,12
أشركوا,12
ورسله,12
بأمره,12
وسع,12
أرسلنـك,12
أهواءهم,12
شهداء,12
بى,12
حدود,12
كم,12
درجـت,12
لحى,12
خلفهم,12
قول,12
شهيد,12
أمن,12
لإنجيل,12
لخير,12
ويعلم,12
بـاية,12
أخذ,12
بذات,12
قتل,12
لنفس,12
كتـبا,12
خبيرا,12
نصيرا,12
يضلل,12
يستوى,12
لطيبـت,12
تاب,12
وترى,12
سحر,12
لكـذبون,12
أوحى,12
أمرهم,12
بشرا,12
ثمود,12
تسمع,12
أفلم,12
سبحـن,12
للمكذبين,12
ومما,11
يوقنون,11
يبصرون,11
مثله,11
وبشر,11
منى,11
مصدقا,11
وأقيموا,11
قتلوا,11
سجدا,11
طعام,11
وعمل,11
هزوا,11
عدوا,11
وراء,11
كأنهم,11
وجهه,11
كن,11
جاءك,11
ويعقوب,11
فيكم,11
موتها,11
يتخذ,11
ختلفوا,11
أمولكم,11
تفلحون,11
ثلـثة,11
زين,11
يرجون,11
مؤمن,11
أحق,11
عليهن,11
وتلك,11
كثيرة,11
هـرون,11
فمنهم,11
أنفقوا,11
للظـلمين,11
عنا,11
لبلـغ,11
لمسيح,11
تأكلون,11
وأطيعون,11
مرجعكم,11
شديدا,11
دين,11
صدق,11
فذوقوا,11
تقول,11
سلطـنا,11
ستغفر,11
رسل,11
يذكرون,11
شركاء,11
وربك,11
يقولوا,11
أضل,11
معك,11
ويقول,11
ساء,11
بينى,11
وإنهم,11
ذكرى,11
حميم,11
أسـلكم,11
فأنى,11
لحسنة,11
لمسلمين,11
أمين,11
رسلهم,11
معى,11
وأصحـب,11
عدن,11
تقوم,11
لسمع,11
لأحزاب,11
وسخر,11
أءذا,11
نطفة,11
رزقنـهم,10
فأتوا,10
سجدوا,10
وكلا,10
وكذبوا,10
ثمنا,10
نؤمن,10
لقرية,10
دع,10
هادوا,10
لمسـكين,10
فريقا,10
سمعوا,10
لفـسقون,10
سليمـن,10
منهما,10
كثير,10
تبين,10
فله,10
يختلفون,10
وجه,10
فيكون,10
حنيفا,10
وربكم,10
يأت,10
مصيبة,10
تابوا,10
ءاباءنا,10
يهتدون,10
أخيه,10
ذكرا,10
نصيب,10
كبير,10
دينكم,10
وجـهدوا,10
حليم,10
وهى,10
ذرية,10
دينهم,10
ويغفر,10
بك,10
يدى,10
لكـذبين,10
وبينكم,10
صدورهم,10
فإنهم,10
أيديكم,10
قليل,10
لـتى,10
حكما,10
كأن,10
وأنفسهم,10
يعمل,10
يجدون,10
حديث,10
فأخذتهم,10
لظن,10
فإنا,10
حكم,10
لنعيم,10
بلغ,10
أمره,10
بأسنا,10
لصور,10
رءا,10
جاءت,10
ءايـتى,10
لغنى,10
ثنين,10
لسيئة,10
أرسل,10
لهما,10
أخرج,10
أغنى,10
يرسل,10
وجاء,10
مجرمين,10
فعل,10
يتفكرون,10
عباد,10
أذن,10
لأعراب,10
لقرون,10
يغنى,10
رأوا,10
لنفسه,10
عبادنا,10
يملكون,10
لحميد,10
ءاخر,10
بحمد,10
بمن,10
عين,10
يوعدون,10
تكذبون,10
بيوت,10
تنزيل,10
أبصـرهم,9
تفعلوا,9
ويهدى,9
للملـئكة,9
سبحـنك,9
إبليس,9
لبعض,9
أنزلت,9
قلتم,9
أدنى,9
لنصـرى,9
كونوا,9
أكون,9
بغـفل,9
فويل,9
ميثـق,9
ديـرهم,9
تعلم,9
نصير,9
يذكر,9
وإسمـعيل,9
مسلمين,9
ملة,9
وإسحـق,9
أعمـلكم,9
تكونن,9
لخيرت,9
ولعلكم,9
لريـح,9
لأنثى,9
عبادى,9
يسـلونك,9
لحج,9
فيهن,9
لتقوى,9
فضلا,9
سريع,9
تولى,9
بإذنه,9
متى,9
لقتال,9
كره,9
أقرب,9
يشكرون,9
ويميت,9
يتبعون,9
بعضا,9
فأخذهم,9
تشاء,9
هنالك,9
طيبة,9
تؤمنوا,9
فليتوكل,9
يتوب,9
نظروا,9
مثوى,9
كمن,9
نفعا,9
يشرك,9
عندك,9
نفسك,9
ألقى,9
ضلوا,9
نورا,9
نفسى,9
وبين,9
وءاتينـه,9
فأصبحوا,9
مكانا,9
ضرا,9
تخرج,9
أقول,9
فإنك,9
بربهم,9
برىء,9
يفلح,9
أسـطير,9
أمم,9
لبصير,9
قومك,9
لذكرى,9
لأبيه,9
علما,9
تجزون,9
لنجوم,9
لميزان,9
وكم,9
ظـلمين,9
إما,9
نعم,9
بيوتا,9
مدين,9
عذابى,9
قريبا,9
وثمود,9
فترىه,9
لوعد,9
أجرى,9
لنذر,9
ويـقوم,9
تخف,9
يعبدون,9
سنين,9
روسى,9
أءنا,9
يبسط,9
ويقدر,9
معلوم,9
لأعلى,9
نجعل,9
للرحمـن,9
تبصرون,9
ظلمـت,8
عهد,8
وكنتم,8
لشجرة,8
ليلة,8
وقولوا,8
لطور,8
توليتم,8
بغيا,8
غضب,8
ألف,8
يدخل,8
ليهود,8
قولهم,8
ونذيرا,8
عنك,8
تتبع,8
ءامنتم,8
ولكل,8
كفار,8
ينفع,8
يرون,8
تتبعوا,8
إياه,8
تأكلوا,8
لفتنة,8
وأنفقوا,8
يجد,8
ستغفروا,8
تحشرون,8
لعزة,8
فيهما,8
يدعوا,8
وتتقوا,8
عليهما,8
نعمت,8
لذو,8
يأتيكم,8
صبرا,8
لطـغوت,8
مائة,8
تنفقوا,8
وأقاموا,8
نصيبا,8
لميت,8
أنثى,8
كـفرين,8
وجوه,8
ترحمون,8
لشـكرين,8
يغشى,8
ظن,8
ءاتىهم,8
ذوقوا,8
رجالا,8
ويجعل,8
مثقال,8
ءاخرين,8
بأمولهم,8
يشأ,8
أيها,8
وأوحينا,8
وهـرون,8
رسلا,8
نور,8
يملك,8
يخافون,8
أريد,8
مقيم,8
وأصلح,8
أعرض,8
رزقكم,8
طين,8
لقضى,8
خسروا,8
لخبير,8
نقول,8
وضل,8
أبوب,8
لأعمى,8
ووهبنا,8
خلقنـكم,8
وجعلوا,8
تطع,8
دار,8
لقاء,8
أما,8
مال,8
يبعثون,8
تبعك,8
ومنها,8
ساعة,8
فكذبوه,8
أخاهم,8
ونذر,8
يعبد,8
وأهله,8
مرأته,8
يهد,8
لسحرة,8
ألقوا,8
برب,8
ليم,8
فكان,8
يك,8
وقوم,8
عملا,8
رجعوا,8
لشر,8
علمت,8
عبده,8
عربيا,8
يـأبت,8
لمخلصين,8
يسير,8
ت,8
لكبير,8
شكور,8
بسلطـن,8
لريح,8
وعيون,8
لمرسلون,8
عبد,8
لروح,8
لبصر,8
لبثتم,8
أمرى,8
نبيا,8
لسعير,8
ورب,8
أقسم,8
أنعمت,7
خلوا,7
يعمهون,7
شتروا,7
ءاذانهم,7
محيط,7
أزوج,7
أبى,7
فإما,7
وءامنوا,7
عدل,7
تنظرون,7
لعجل,7
ظـلمون,7
نرى,7
طيبـت,7
رزقنـكم,7
فكلوا,7
رزق,7
ورحمته,7
يخفف,7
وءاتينا,7
أحدهم,7
لسحر,7
أسلم,7
مقام,7
بعث,7
يتلوا,7
وعيسى,7
ءأنتم,7
وجهك,7
للحق,7
لعنة,7
حبا,7
يرى,7
لفحشاء,7
أولو,7
يسمع,7
يأكلون,7
أحدكم,7
إثما,7
أحل,7
هن,7
تقى,7
أذى,7
لعباد,7
حساب,7
نصر,7
يتذكرون,7
أربعة,7
خفتم,7
أولـدكم,7
متـعا,7
ملكا,7
فليس,7
وجنوده,7
فئة,7
منهن,7
غنى,7
تراب,7
لكبر,7
لخبيث,7
لربوا,7
جاءه,7
تجدوا,7
لأرحام,7
لدنك,7
بذنوبهم,7
نـصرين,7
مرأت,7
ربها,7
لديهم,7
تعالوا,7
تبعوه,7
تنزل,7
عوجا,7
ظلما,7
كله,7
لمكذبين,7
مس,7
ثواب,7
نبى,7
وعده,7
إيمـنا,7
لطيب,7
فبئس,7
سيـاتهم,7
رشدا,7
سعيرا,7
لمحصنـت,7
تقتلوا,7
يسيرا,7
لرجال,7
وأعتدنا,7
رزقهم,7
تك,7
سوف,7
عزيزا,7
فأعرض,7
يـليتنى,7
كيد,7
وتوكل,7
بأس,7
قومهم,7
مؤمنا,7
وأعد,7
لسلـم,7
أعد,7
عبادك,7
يتلى,7
عندهم,7
فتكون,7
فينبئكم,7
حزب,7
فـسقون,7
تحت,7
يستكبرون,7
جعلنـه,7
رجلا,7
لرحمة,7
أمرت,7
تشركون,7
يجحدون,7
نسوا,7
خزائن,7
أتبع,7
تستعجلون,7
يبعث,7
وتعـلى,7
يصفون,7
خـلق,7
بمعجزين,7
لمسرفين,7
ءاباؤنا,7
لكيل,7
ءامنت,7
وذكرى,7
لكما,7
مخلصين,7
برحمة,7
ستة,7
نوحا,7
لغـبرين,7
شعيبا,7
وقومه,7
فأرسلنا,7
وظنوا,7
لمنـفقون,7
تحزن,7
سورة,7
سألتهم,7
وعاد,7
وعدا,7
توكلت,7
يعيده,7
ليجزى,7
لضر,7
سبقت,7
لمنذرين,7
هتدى,7
تعبدوا,7
وحاق,7
مالا,7
مريب,7
لقوى,7
لصيحة,7
سلـما,7
وتركنا,7
لوحد,7
علمنا,7
وتولى,7
ءامنين,7
يسيروا,7
يتذكر,7
قرءانا,7
مثلكم,7
إلـهكم,7
كفورا,7
خلقا,7
لحديث,7
متكـين,7
صفا,7
نادى,7
بكرة,7
تذكرة,7
قدر,7
وأبقى,7
يسبحون,7
يتساءلون,7
أفرءيتم,7
لفصل,7
حم,7
نعبد,6
لصرط,6
لضالين,6
الم,6
بمؤمنين,6
يكذبون,6
لضلـلة,6
يكاد,6
أندادا,6
نزلنا,6
عبدنا,6
أقل,6
غيب,6
وقلنا,6
لتواب,6
نعمتى,6
يقبل,6
شفـعة,6
وعدنا,6
لفرقان,6
تهتدون,6
لباب,6
فقلنا,6
عينا,6
شربوا,6
فلهم,6
فوقكم,6
بقوة,6
علمتم,6
أعوذ,6
لجـهلين,6
فعلوا,6
جئت,6
خشية,6
يعلنون,6
يخلف,6
تقولون,6
خزى,6
قلوبنا,6
لعنهم,6
إيمـنكم,6
بخير,6
لأنفسكم,6
هودا,6
لمشرق,6
لمغرب,6
لسجود,6
بمثل,6
وجوهكم,6
بشىء,6
لأنفس,6
وأصلحوا,6
ختلـف,6
طيبا,6
دعاء,6
إثم,6
لضراء,6
لمتقون,6
شهد,6
لشهر,6
عنى,6
فإنى,6
بتغوا,6
لفجر,6
لفساد,6
رءوف,6
لسلم,6
وقضى,6
ترجع,6
ختلف,6
تدخلوا,6
يأتكم,6
حبطت,6
رحمت,6
ويسـلونك,6
مؤمنة,6
بمعروف,6
ظلم,6
سرا,6
معروفا,6
وصية,6
خرجوا,6
قرضا,6
أخرجنا,6
وإنك,6
ماله,6
حميد,6
أنصار,6
لصدقـت,6
لعدل,6
لشهداء,6
تجـرة,6
ويعذب,6
وأطعنا,6
تحمل,6
تغنى,6
أولـدهم,6
بعيدا,6
تحبون,6
ذنوبكم,6
وسبح,6
لعشى,6
أنباء,6
أيهم,6
بيوتكم,6
عبدوه,6
لشـهدين,6
تختلفون,6
خلقه,6
يؤتيه,6
لبشر,6
وبما,6
إيمـنهم,6
لطعام,6
لكان,6
وأكثرهم,6
جعله,6
يعذبهم,6
وجنـت,6
وليعلم,6
وكأين,6
ومأوىهم,6
ومنكم,6
عفا,6
فبما,6
نعلم,6
بأفوههم,6
يسـرعون,6
فـامنوا,6
جاءو,6
خلقت,6
لـكن,6
نزلا,6
وخلق,6
لأنثيين,6
أزوجكم,6
يطع,6
أعتدنا,6
زوج,6
أمهـتكم,6
وبنات,6
أجورهن,6
ذرة,6
مفعولا,6
أهدى,6
وأحسن,6
ضلـلا,6
رأيت,6
يصدون,6
لدنا,6
مستقيما,6
يقـتلون,6
يخشون,6
وبينهم,6
رقبة,6
عرض,6
سوءا,6
خسر,6
يدخلون,6
قديرا,6
حرمنا,6
وصدوا,6
عبدا,6
يبتغون,6
وأجر,6
عشر,6
جاءنا,6
يخرجوا,6
تل,6
ءاثـرهم,6
ءاتىكم,6
لفتح,6
وكثير,6
يؤفكون,6
أعينهم,6
مؤمنون,6
منك,6
فاطر,6
أى,6
بلقاء,6
كبر,6
عندى,6
لمهتدين,6
وذكر,6
إسحـق,6
ولوطا,6
صلاتهم,6
زعمتم,6
فأخرجنا,6
فذرهم,6
يمشى,6
يمكرون,6
غـفلون,6
لصـدقون,6
فلله,6
يجزى,6
إننى,6
وزر,6
جعلكم,6
موزينه,6
خرج,6
زينة,6
أجلهم,6
ونادى,6
رجال,6
لبلد,6
فأنجينـه,6
وحده,6
تأكل,6
أرسلت,6
مكر,6
نقص,6
بعثنا,6
وملإيه,6
بيضاء,6
سـحر,6
أعين,6
رجع,6
لرحمين,6
بعدها,6
هوىه,6
أيان,6
ورزق,6
لصم,6
مدبرين,6
معنا,6
فـسقين,6
كفرتم,6
سخر,6
لأولون,6
يبدؤا,6
ضر,6
مسه,6
يستمعون,6
أفأنت,6
لخلد,6
لشديد,6
وأمرت,6
لأليم,6
يقضى,6
مثلنا,6
حمل,6
حفيظ,6
كيدا,6
للإنسـن,6
فـعلين,6
يـأبانا,6
لسجن,6
فينظروا,6
جديد,6
لقلوب,6
مـاب,6
رءوسهم,6
فسبح,6
ليقين,6
أتى,6
سيـات,6
تفعلون,6
وبنين,6
لمسكين,6
بعباده,6
يسبح,6
ملـئكة,6
لشمال,6
ثلـث,6
أرءيت,6
يسرا,6
ينبغى,6
يخشى,6
أتىك,6
لكبرى,6
شجرة,6
يـويلنا,6
يلقى,6
ترابا,6
يسعى,6
صيحة,6
فـكهة,6
مجنون,6
مدكر,6
لمستقيم,5
لسفهاء,5
طغيـنهم,5
مثلهم,5
حوله,5
تجعلوا,5
مطهرة,5
يحييكم,5
لأسماء,5
كلها,5
تكتمون,5
لـادم,5
فسجدوا,5
مستقر,5
فتاب,5
وأوفوا,5
تقون,5
يظنون,5
وأنهم,5
رجعون,5
تخذتم,5
شئتم,5
يفسقون,5
عشرة,5
أناس,5
تعثوا,5
مفسدين,5
ويقتلون,5
ورفعنا,5
خذوا,5
لسبت,5
وموعظة,5
يأمركم,5
لحرث,5
لــن,5
فهى,5
يكتبون,5
لولدين,5
تخرجون,5
لعدون,5
تهوى,5
مصدق,5
وللكـفرين,5
يود,5
وبشرى,5
وملـئكته,5
ظهورهم,5
مثلها,5
تريدون,5
عفوا,5
نصـرى,5
يتلون,5
سمه,5
حضر,5
يعقوب,5
وحدا,5
تسـلون,5
شقاق,5
شهـدة,5
يتبع,5
لرءوف,5
أبناءهم,5
شكروا,5
لخوف,5
يكتمون,5
خطوت,5
ولحم,5
لمغفرة,5
وحين,5
صدقوا,5
يـأولى,5
خاف,5
سفر,5
نسائكم,5
وكلوا,5
أمول,5
وليس,5
وقـتلوا,5
لمعتدين,5
لقتل,5
يقـتلوكم,5
نتهوا,5
يبلغ,5
أشهر,5
يعلمه,5
قلبه,5
لمهاد,5
كافة,5
جاءتكم,5
ليحكم,5
هاجروا,5
للغو,5
يحل,5
أجلهن,5
وسعها,5
فريضة,5
قدره,5
بيده,5
معروف,5
يؤتى,5
شرب,5
نصرنا,5
فضلنا,5
خاوية,5
حبة,5
يضـعف,5
ومغفرة,5
ينفق,5
يعدكم,5
سيـاتكم,5
تظلمون,5
يقوم,5
سلف,5
أثيم,5
رجلين,5
إحدىهما,5
لأخرى,5
رسله,5
تأويله,5
لعبرة,5
ورضون,5
إننا,5
للهم,5
عملت,5
أطيعوا,5
يـمريم,5
لدعاء,5
كتبنا,5
شهدوا,5
أوتيتم,5
لنبوة,5
جزاؤهم,5
لضالون,5
لبنى,5
بيت,5
تطيعوا,5
وكيف,5
أعداء,5
قائمة,5
لبغضاء,5
تصبروا,5
أهلك,5
جـهدوا,5
أصابهم,5
وحسن,5
خـسرين,5
مولىكم,5
ضربوا,5
غليظ,5
تحسبن,5
يستبشرون,5
أحسنوا,5
نقلبوا,5
يحزنك,5
لحريق,5
للعبيد,5
لزبر,5
لغرور,5
بربكم,5
لأبرار,5
لبلـد,5
مأوىهم,5
للذكر,5
ءاباؤكم,5
يأتين,5
لفـحشة,5
كرها,5
فعسى,5
مولى,5
إحسـنا,5
يظلم,5
حديثا,5
تقربوا,5
تعلموا,5
تؤمنون,5
جاءوك,5
يحلفون,5
يجدوا,5
فعلوه,5
صرطا,5
أنعم,5
مودة,5
تصبهم,5
لست,5
وسعة,5
وقع,5
يجـدل,5
إنـثا,5
غرورا,5
ليغفر,5
وسوف,5
نهوا,5
يشهد,5
ويزيدهم,5
يصنعون,5
أملك,5
نبأ,5
يدك,5
فأصبح,5
خلـف,5
جهد,5
ويؤتون,5
لغـلبون,5
وأضل,5
لبئس,5
لعدوة,5
بلغت,5
يقتلون,5
لسان,5
وعن,5
ليعلم,5
يأتوا,5
لرزقين,5
قلت,5
رضى,5
ورضوا,5
يعدلون,5
معرضين,5
قرن,5
تحتهم,5
سيروا,5
وقرا,5
أتىهم,5
شفيع,5
حسابهم,5
فتنا,5
نفصل,5
لنكونن,5
وكذب,5
بوكيل,5
